Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0,6,0%,0,0,4/1/20
Tarapacá,2,10,0%,0,0,4/1/20
Antofagasta,4,39,1%,0,0,4/1/20
Atacama,1,3,0%,0,0,4/1/20
Coquimbo,2,30,1%,0,0,4/1/20
Valparaíso,21,136,4%,1,0,4/1/20
Metropolitana,101,1521,50%,5,0,4/1/20
O’Higgins,3,26,1%,0,0,4/1/20
Maule,9,71,2%,1,0,4/1/20
Ñuble,14,259,9%,0,0,4/1/20
Biobío,24,240,8%,2,0,4/1/20
Araucanía,41,343,11%,6,0,4/1/20
Los Ríos,6,64,2%,1,0,4/1/20
Los Lagos,30,181,6%,0,0,4/1/20
Aysén,1,3,0%,0,0,4/1/20
Magallanes,36,99,3%,0,0,4/1/20
Total,293,3031,100%,16,234,4/1/20
