Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,5.0,120.0,"1,52 %",1.0,0.0,2020-04-14
Tarapacá,10.0,62.0,"0,78 %",0.0,0.0,2020-04-14
Antofagasta,6.0,155.0,"1,96 %",1.0,0.0,2020-04-14
Atacama,0.0,13.0,"0,16 %",0.0,0.0,2020-04-14
Coquimbo,0.0,66.0,"0,83 %",0.0,0.0,2020-04-14
Valparaíso,12.0,285.0,"3,60 %",2.0,0.0,2020-04-14
Metropolitana,283.0,4086.0,"51,61 %",40.0,0.0,2020-04-14
O’Higgins,5.0,53.0,"0,67 %",0.0,0.0,2020-04-14
Maule,1.0,142.0,"1,79 %",4.0,0.0,2020-04-14
Ñuble,4.0,622.0,"7,86 %",8.0,0.0,2020-04-14
Biobío,16.0,528.0,"6,67 %",2.0,0.0,2020-04-14
Araucanía,21.0,816.0,"10,31 %",20.0,0.0,2020-04-14
Los Ríos,10.0,148.0,"1,87 %",3.0,0.0,2020-04-14
Los Lagos,5.0,385.0,"4,86 %",5.0,0.0,2020-04-14
Aysén,0.0,7.0,"0,09 %",0.0,0.0,2020-04-14
Magallanes,14.0,429.0,"5,42 %",6.0,0.0,2020-04-14
Total,392.0,7917.0,100%,92.0,2646.0,2020-04-14
