Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,115.0,"1,53 %",1.0,0.0,2020-04-13
Tarapacá,6.0,52.0,"0,69 %",0.0,0.0,2020-04-13
Antofagasta,11.0,149.0,"1,98 %",1.0,0.0,2020-04-13
Atacama,0.0,13.0,"0,17 %",0.0,0.0,2020-04-13
Coquimbo,0.0,66.0,"0,88 %",0.0,0.0,2020-04-13
Valparaíso,19.0,273.0,"3,63 %",2.0,0.0,2020-04-13
Metropolitana,204.0,3803.0,"50,54 %",36.0,0.0,2020-04-13
O’Higgins,2.0,48.0,"0,64 %",0.0,0.0,2020-04-13
Maule,3.0,141.0,"1,87 %",3.0,0.0,2020-04-13
Ñuble,5.0,618.0,"8,21 %",7.0,0.0,2020-04-13
Biobío,12.0,512.0,"6,80 %",2.0,0.0,2020-04-13
Araucanía,20.0,795.0,"10,56 %",17.0,0.0,2020-04-13
Los Ríos,3.0,138.0,"1,83 %",3.0,0.0,2020-04-13
Los Lagos,8.0,380.0,"5,05 %",5.0,0.0,2020-04-13
Aysén,0.0,7.0,"0,09 %",0.0,0.0,2020-04-13
Magallanes,19.0,415.0,"5,51 %",5.0,0.0,2020-04-13
Total,312.0,7525.0,100%,82.0,2367.0,2020-04-13
