Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,13.0,41.0,1 %,0.0,0.0,2020-04-06
Tarapacá,1.0,21.0,0 %,0.0,0.0,2020-04-06
Antofagasta,8.0,68.0,1 %,0.0,0.0,2020-04-06
Atacama,0.0,5.0,0 %,0.0,0.0,2020-04-06
Coquimbo,1.0,51.0,1 %,0.0,0.0,2020-04-06
Valparaíso,7.0,198.0,4 %,1.0,0.0,2020-04-06
Metropolitana,142.0,2244.0,47 %,10.0,0.0,2020-04-06
O’Higgins,1.0,42.0,1 %,0.0,0.0,2020-04-06
Maule,5.0,108.0,2 %,1.0,0.0,2020-04-06
Ñuble,49.0,474.0,10 %,4.0,0.0,2020-04-06
Biobío,18.0,383.0,8 %,2.0,0.0,2020-04-06
Araucanía,53.0,562.0,12 %,14.0,0.0,2020-04-06
Los Ríos,5.0,104.0,2 %,1.0,0.0,2020-04-06
Los Lagos,10.0,286.0,6 %,2.0,0.0,2020-04-06
Aysén,0.0,7.0,0 %,0.0,0.0,2020-04-06
Magallanes,31.0,221.0,5 %,2.0,0.0,2020-04-06
Total,344.0,4815.0,100%,37.0,728.0,2020-04-06
