Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,5.0,129.0,"1,46 %",1.0,0.0,2020-04-16
Tarapacá,4.0,66.0,"0,75 %",0.0,0.0,2020-04-16
Antofagasta,16.0,192.0,"2,18 %",1.0,0.0,2020-04-16
Atacama,0.0,13.0,"0,15 %",0.0,0.0,2020-04-16
Coquimbo,2.0,68.0,"0,77 %",0.0,0.0,2020-04-16
Valparaíso,31.0,330.0,"3,75 %",4.0,0.0,2020-04-16
Metropolitana,348.0,4682.0,"53,16 %",48.0,0.0,2020-04-16
O’Higgins,0.0,54.0,"0,61 %",0.0,0.0,2020-04-16
Maule,15.0,167.0,"1,90 %",4.0,0.0,2020-04-16
Ñuble,5.0,639.0,"7,26 %",10.0,0.0,2020-04-16
Biobío,17.0,559.0,"6,35 %",2.0,0.0,2020-04-16
Araucanía,56.0,882.0,"10,01 %",21.0,0.0,2020-04-16
Los Ríos,3.0,153.0,"1,74 %",3.0,0.0,2020-04-16
Los Lagos,9.0,399.0,"4,53 %",5.0,0.0,2020-04-16
Aysén,0.0,7.0,"0,08 %",0.0,0.0,2020-04-16
Magallanes,23.0,467.0,"5,30 %",6.0,0.0,2020-04-16
Total,534.0,8807.0,100%,105.0,3299.0,2020-04-16
