Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,3.0,268.0,"1,87 %",3.0,0.0,2020-04-28
Tarapacá,5.0,169.0,"1,18 %",1.0,0.0,2020-04-28
Antofagasta,24.0,481.0,"3,35 %",4.0,0.0,2020-04-28
Atacama,0.0,35.0,"0,24 %",0.0,0.0,2020-04-28
Coquimbo,0.0,74.0,"0,52 %",0.0,0.0,2020-04-28
Valparaíso,8.0,493.0,"3,43 %",10.0,0.0,2020-04-28
Metropolitana,442.0,8300.0,"57,78 %",100.0,0.0,2020-04-28
O’Higgins,3.0,97.0,"0,68 %",1.0,0.0,2020-04-28
Maule,21.0,384.0,"2,67 %",12.0,0.0,2020-04-28
Ñuble,6.0,747.0,"5,20 %",14.0,0.0,2020-04-28
Biobío,3.0,709.0,"4,94 %",7.0,0.0,2020-04-28
Araucanía,15.0,1251.0,"8,71 %",32.0,0.0,2020-04-28
Los Ríos,0.0,180.0,"1,25 %",4.0,0.0,2020-04-28
Los Lagos,0.0,477.0,"3,32 %",9.0,0.0,2020-04-28
Aysén,0.0,7.0,"0,05 %",0.0,0.0,2020-04-28
Magallanes,22.0,693.0,"4,82 %",10.0,0.0,2020-04-28
Total,552.0,14365.0,100%,207.0,7710.0,2020-04-28
