Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,1.0,3,0 %,0.0,0.0,26-03-2020
Tarapacá,1.0,5,0 %,0.0,0.0,26-03-2020
Antofagasta,1.0,20,2 %,0.0,0.0,26-03-2020
Atacama,0.0,1,0 %,0.0,0.0,26-03-2020
Coquimbo,1.0,13,1 %,0.0,0.0,26-03-2020
Valparaíso,12.0,44,3 %,0.0,0.0,26-03-2020
Metropolitana,64.0,746,57 %,3.0,0.0,26-03-2020
O’Higgins,3.0,14,1 %,0.0,0.0,26-03-2020
Maule,1.0,31,2 %,0.0,0.0,26-03-2020
Ñuble,3.0,114,9 %,0.0,0.0,26-03-2020
Biobío,14.0,109,8 %,1.0,0.0,26-03-2020
Araucanía,37.0,111,8 %,0.0,0.0,26-03-2020
Los Ríos,3.0,14,1 %,0.0,0.0,26-03-2020
Los Lagos,16.0,60,5 %,0.0,0.0,26-03-2020
Aysén,1.0,2,0 %,0.0,0.0,26-03-2020
Magallanes,6.0,19,1 %,0.0,0.0,26-03-2020
Total,164.0,1306,100%,4.0,33.0,26-03-2020
