Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,6.0,0 %,0.0,0.0,31-03-2020
Tarapacá,2.0,10.0,0 %,0.0,0.0,31-03-2020
Antofagasta,0.0,35.0,1 %,0.0,0.0,31-03-2020
Atacama,0.0,2.0,0 %,0.0,0.0,31-03-2020
Coquimbo,1.0,28.0,1 %,0.0,0.0,31-03-2020
Valparaíso,7.0,115.0,4 %,1.0,0.0,31-03-2020
Metropolitana,125.0,1420.0,52 %,4.0,0.0,31-03-2020
O’Higgins,2.0,23.0,1 %,0.0,0.0,31-03-2020
Maule,8.0,62.0,2 %,1.0,0.0,31-03-2020
Ñuble,16.0,245.0,9 %,0.0,0.0,31-03-2020
Biobío,15.0,216.0,8 %,2.0,0.0,31-03-2020
Araucanía,55.0,302.0,11 %,4.0,0.0,31-03-2020
Los Ríos,11.0,58.0,2 %,0.0,0.0,31-03-2020
Los Lagos,23.0,151.0,6 %,0.0,0.0,31-03-2020
Aysén,0.0,2.0,0 %,0.0,0.0,31-03-2020
Magallanes,24.0,63.0,2 %,0.0,0.0,31-03-2020
Total,289.0,2738.0,100%,12.0,156.0,31-03-2020
