Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,12.0,53.0,1 %,0.0,0.0,2020-04-07
Tarapacá,2.0,23.0,0 %,0.0,0.0,2020-04-07
Antofagasta,1.0,69.0,1 %,1.0,0.0,2020-04-07
Atacama,1.0,6.0,0 %,0.0,0.0,2020-04-07
Coquimbo,1.0,52.0,1 %,0.0,0.0,2020-04-07
Valparaíso,16.0,214.0,4 %,1.0,0.0,2020-04-07
Metropolitana,106.0,2350.0,46 %,12.0,0.0,2020-04-07
O’Higgins,0.0,42.0,1 %,0.0,0.0,2020-04-07
Maule,0.0,108.0,2 %,2.0,0.0,2020-04-07
Ñuble,48.0,522.0,10 %,5.0,0.0,2020-04-07
Biobío,27.0,410.0,8 %,2.0,0.0,2020-04-07
Araucanía,50.0,612.0,12 %,14.0,0.0,2020-04-07
Los Ríos,5.0,109.0,2 %,2.0,0.0,2020-04-07
Los Lagos,13.0,299.0,6 %,2.0,0.0,2020-04-07
Aysén,0.0,7.0,0 %,0.0,0.0,2020-04-07
Magallanes,19.0,240.0,5 %,2.0,0.0,2020-04-07
Total,301.0,5116.0,100%,43.0,898.0,2020-04-07
