Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,30.0,210.0,"1,78 %",2.0,0.0,2020-04-23
Tarapacá,14.0,128.0,"1,08 %",0.0,0.0,2020-04-23
Antofagasta,14.0,340.0,"2,88 %",2.0,0.0,2020-04-23
Atacama,5.0,18.0,"0,15 %",0.0,0.0,2020-04-23
Coquimbo,0.0,70.0,"0,59 %",0.0,0.0,2020-04-23
Valparaíso,8.0,429.0,"3,63 %",7.0,0.0,2020-04-23
Metropolitana,351.0,6434.0,"54,47 %",85.0,0.0,2020-04-23
O’Higgins,17.0,76.0,"0,64 %",1.0,0.0,2020-04-23
Maule,5.0,333.0,"2,82 %",10.0,0.0,2020-04-23
Ñuble,5.0,708.0,"5,99 %",13.0,0.0,2020-04-23
Biobío,17.0,675.0,"5,71 %",5.0,0.0,2020-04-23
Araucanía,29.0,1142.0,"9,67 %",26.0,0.0,2020-04-23
Los Ríos,2.0,173.0,"1,46 %",3.0,0.0,2020-04-23
Los Lagos,9.0,454.0,"3,84 %",7.0,0.0,2020-04-23
Aysén,0.0,7.0,"0,06 %",0.0,0.0,2020-04-23
Magallanes,10.0,615.0,"5,21 %",7.0,0.0,2020-04-23
Total,516.0,11812.0,100%,168.0,5804.0,2020-04-23
