Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,13.0,265.0,"1,92 %",3.0,0.0,2020-04-27
Tarapacá,8.0,164.0,"1,19 %",1.0,0.0,2020-04-27
Antofagasta,14.0,457.0,"3,31 %",4.0,0.0,2020-04-27
Atacama,6.0,35.0,"0,25 %",0.0,0.0,2020-04-27
Coquimbo,1.0,74.0,"0,54 %",0.0,0.0,2020-04-27
Valparaíso,25.0,485.0,"3,51 %",9.0,0.0,2020-04-27
Metropolitana,362.0,7858.0,"56,89 %",95.0,0.0,2020-04-27
O’Higgins,2.0,94.0,"0,68 %",1.0,0.0,2020-04-27
Maule,9.0,363.0,"2,63 %",12.0,0.0,2020-04-27
Ñuble,10.0,741.0,"5,36 %",14.0,0.0,2020-04-27
Biobío,3.0,706.0,"5,11 %",6.0,0.0,2020-04-27
Araucanía,20.0,1236.0,"8,95 %",32.0,0.0,2020-04-27
Los Ríos,2.0,180.0,"1,30 %",3.0,0.0,2020-04-27
Los Lagos,4.0,477.0,"3,45 %",8.0,0.0,2020-04-27
Aysén,0.0,7.0,"0,05 %",0.0,0.0,2020-04-27
Magallanes,3.0,671.0,"4,86 %",10.0,0.0,2020-04-27
Total,482.0,13813.0,100%,198.0,7327.0,2020-04-27
