Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,8.0,142.0,"1,46 %",2.0,0.0,2020-04-18
Tarapacá,8.0,81.0,"0,83 %",0.0,0.0,2020-04-18
Antofagasta,15.0,226.0,"2,32 %",1.0,0.0,2020-04-18
Atacama,0.0,13.0,"0,13 %",0.0,0.0,2020-04-18
Coquimbo,0.0,68.0,"0,70 %",0.0,0.0,2020-04-18
Valparaíso,14.0,359.0,"3,69%",4.0,0.0,2020-04-18
Metropolitana,277.0,5192.0,"53,36 %",58.0,0.0,2020-04-18
O’Higgins,0.0,55.0,"0,57 %",0.0,0.0,2020-04-18
Maule,53.0,276.0,"2,84 %",8.0,0.0,2020-04-18
Ñuble,11.0,667.0,"6,86 %",12.0,0.0,2020-04-18
Biobío,28.0,606.0,"6,23 %",3.0,0.0,2020-04-18
Araucanía,37.0,944.0,"9,70 %",23.0,0.0,2020-04-18
Los Ríos,2.0,156.0,"1,60 %",3.0,0.0,2020-04-18
Los Lagos,4.0,416.0,"4,28 %",6.0,0.0,2020-04-18
Aysén,0.0,7.0,"0,07 %",0.0,0.0,2020-04-18
Magallanes,21.0,522.0,"5,36 %",6.0,0.0,2020-04-18
Total,478.0,9730.0,100%,126.0,4035.0,2020-04-18
