Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,20,107,"1,54 %",0,0,4/11/20
Tarapacá,3,38,"0,55 %",0,0,4/11/20
Antofagasta,7,117,"1,69 %",1,0,4/11/20
Atacama,0,13,"0, 19 %",0,0,4/11/20
Coquimbo,3,64,"0,92 %",0,0,4/11/20
Valparaíso,7,248,"3,58 %",2,0,4/11/20
Metropolitana,255,3448,"49,78 %",32,0,4/11/20
O’Higgins,1,45,"0,65 %",0,0,4/11/20
Maule,3,134,"1,93 %",3,0,4/11/20
Ñuble,17,606,"8,75 %",6,0,4/11/20
Biobío,16,490,"7,07 %",2,0,4/11/20
Araucanía,27,739,"10,67 %",17,0,4/11/20
Los Ríos,6,130,"1,88 %",2,0,4/11/20
Los Lagos,15,364,"5,25 %",5,0,4/11/20
Aysén,0,7,"0,10 %",0,0,4/11/20
Magallanes,46,377,"5,44 %",3,0,4/11/20
Total,426,6927,100%,73,1571,4/11/20
