Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,12.0,75.0,1 %,0.0,0.0,2020-04-09
Tarapacá,3.0,29.0,0 %,0.0,0.0,2020-04-09
Antofagasta,15.0,92.0,2 %,1.0,0.0,2020-04-09
Atacama,2.0,10.0,0 %,0.0,0.0,2020-04-09
Coquimbo,5.0,61.0,1 %,0.0,0.0,2020-04-09
Valparaíso,5.0,230.0,4 %,2.0,0.0,2020-04-09
Metropolitana,284.0,2832.0,47 %,21.0,0.0,2020-04-09
O’Higgins,1.0,44.0,1 %,0.0,0.0,2020-04-09
Maule,9.0,128.0,2 %,2.0,0.0,2020-04-09
Ñuble,10.0,571.0,10 %,6.0,0.0,2020-04-09
Biobío,21.0,460.0,8 %,2.0,0.0,2020-04-09
Araucanía,20.0,689.0,12 %,16.0,0.0,2020-04-09
Los Ríos,4.0,118.0,2 %,2.0,0.0,2020-04-09
Los Lagos,15.0,340.0,6 %,2.0,0.0,2020-04-09
Aysén,0.0,7.0,0 %,0.0,0.0,2020-04-09
Magallanes,20.0,286.0,5 %,3.0,0.0,2020-04-09
Total,426.0,5972.0,100%,57.0,1.274,2020-04-09
