Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,12.0,87.0,"1,34 %",0.0,0.0,2020-04-10
Tarapacá,6.0,35.0,"0,54 %",0.0,0.0,2020-04-10
Antofagasta,18.0,110.0,"1,69 %",1.0,0.0,2020-04-10
Atacama,3.0,13.0,"0, 20 %",0.0,0.0,2020-04-10
Coquimbo,0.0,61.0,"0,94 %",0.0,0.0,2020-04-10
Valparaíso,11.0,241.0,"3,71 %",2.0,0.0,2020-04-10
Metropolitana,361.0,3193.0,"49,12 %",29.0,0.0,2020-04-10
O’Higgins,0.0,44.0,"0,68 %",0.0,0.0,2020-04-10
Maule,3.0,131.0,"2,02 %",2.0,0.0,2020-04-10
Ñuble,18.0,589.0,"9,06 %",6.0,0.0,2020-04-10
Biobío,14.0,474.0,"7,29 %",2.0,0.0,2020-04-10
Araucanía,23.0,712.0,"10,95 %",16.0,0.0,2020-04-10
Los Ríos,6.0,124.0,"1,91 %",2.0,0.0,2020-04-10
Los Lagos,9.0,349.0,"5,37 %",2.0,0.0,2020-04-10
Aysén,0.0,7.0,"0,11 %",0.0,0.0,2020-04-10
Magallanes,45.0,331.0,"5,09 %",3.0,0.0,2020-04-10
Total,529.0,6501.0,100%,65.0,1.571,2020-04-10
