Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,2.0,6.0,0 %,0.0,0.0,30-03-2020
Tarapacá,2.0,8.0,0 %,0.0,0.0,30-03-2020
Antofagasta,8.0,35.0,1 %,0.0,0.0,30-03-2020
Atacama,0.0,2.0,0 %,0.0,0.0,30-03-2020
Coquimbo,9.0,27.0,1 %,0.0,0.0,30-03-2020
Valparaíso,28.0,108.0,4 %,0.0,0.0,30-03-2020
Metropolitana,128.0,1295.0,53 %,3.0,0.0,30-03-2020
O’Higgins,0.0,21.0,1 %,0.0,0.0,30-03-2020
Maule,12.0,54.0,2 %,1.0,0.0,30-03-2020
Ñuble,32.0,229.0,9 %,0.0,0.0,30-03-2020
Biobío,16.0,201.0,8 %,2.0,0.0,30-03-2020
Araucanía,42.0,247.0,10 %,2.0,0.0,30-03-2020
Los Ríos,7.0,47.0,2 %,0.0,0.0,30-03-2020
Los Lagos,24.0,128.0,5 %,0.0,0.0,30-03-2020
Aysén,0.0,2.0,0 %,0.0,0.0,30-03-2020
Magallanes,0.0,39.0,2 %,0.0,0.0,30-03-2020
Total,310.0,2449.0,100%,8.0,156.0,30-03-2020
