Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,12.0,0 %,0.0,0.0,2020-04-04
Tarapacá,4.0,17.0,0 %,0.0,0.0,2020-04-04
Antofagasta,1.0,55.0,1 %,0.0,0.0,2020-04-04
Atacama,0.0,5.0,0 %,0.0,0.0,2020-04-04
Coquimbo,9.0,44.0,1 %,0.0,0.0,2020-04-04
Valparaíso,9.0,185.0,4 %,1.0,0.0,2020-04-04
Metropolitana,215.0,1957.0,47 %,9.0,0.0,2020-04-04
O’Higgins,5.0,38.0,1 %,0.0,0.0,2020-04-04
Maule,8.0,97.0,2 %,1.0,0.0,2020-04-04
Ñuble,31.0,401.0,10 %,2.0,0.0,2020-04-04
Biobío,45.0,347.0,8 %,2.0,0.0,2020-04-04
Araucanía,45.0,477.0,11 %,9.0,0.0,2020-04-04
Los Ríos,11.0,89.0,2 %,1.0,0.0,2020-04-04
Los Lagos,25.0,259.0,6 %,0.0,0.0,2020-04-04
Aysén,0.0,6.0,0 %,0.0,0.0,2020-04-04
Magallanes,16.0,172.0,4 %,2.0,0.0,2020-04-04
Total,424.0,4161.0,100%,27.0,528.0,2020-04-04
