Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,10.0,180.0,"1,59 %",2.0,0.0,2020-04-22
Tarapacá,10.0,114.0,"1,01 %",0.0,0.0,2020-04-22
Antofagasta,35.0,326.0,"2,89 %",2.0,0.0,2020-04-22
Atacama,0.0,13.0,"0,12 %",0.0,0.0,2020-04-22
Coquimbo,1.0,70.0,"0,62 %",0.0,0.0,2020-04-22
Valparaíso,18.0,421.0,"3,73 %",7.0,0.0,2020-04-22
Metropolitana,295.0,6083.0,"53,85 %",78.0,0.0,2020-04-22
O’Higgins,2.0,59.0,"0,52 %",1.0,0.0,2020-04-22
Maule,12.0,328.0,"2,90 %",10.0,0.0,2020-04-22
Ñuble,9.0,703.0,"6,22 %",13.0,0.0,2020-04-22
Biobío,22.0,658.0,"5,83 %",5.0,0.0,2020-04-22
Araucanía,21.0,1113.0,"9,85 %",26.0,0.0,2020-04-22
Los Ríos,4.0,171.0,"1,51 %",3.0,0.0,2020-04-22
Los Lagos,13.0,445.0,"3,94 %",6.0,0.0,2020-04-22
Aysén,0.0,7.0,"0,06 %",0.0,0.0,2020-04-22
Magallanes,12.0,605.0,"5,36 %",7.0,0.0,2020-04-22
Total,464.0,11296.0,100%,160.0,5386.0,2020-04-22
