Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,1.0,4.0,0 %,0.0,0.0,29-03-2020
Tarapacá,1.0,6.0,0 %,0.0,0.0,29-03-2020
Antofagasta,2.0,27.0,1 %,0.0,0.0,29-03-2020
Atacama,1.0,2.0,0 %,0.0,0.0,29-03-2020
Coquimbo,3.0,18.0,1 %,0.0,0.0,29-03-2020
Valparaíso,9.0,80.0,4 %,0.0,0.0,29-03-2020
Metropolitana,83.0,1167.0,55 %,3.0,0.0,29-03-2020
O’Higgins,1.0,21.0,1 %,0.0,0.0,29-03-2020
Maule,5.0,42.0,2 %,0.0,0.0,29-03-2020
Ñuble,25.0,197.0,9 %,0.0,0.0,29-03-2020
Biobío,34.0,185.0,9 %,2.0,0.0,29-03-2020
Araucanía,28.0,205.0,10 %,2.0,0.0,29-03-2020
Los Ríos,13.0,40.0,2 %,0.0,0.0,29-03-2020
Los Lagos,11.0,104.0,5 %,0.0,0.0,29-03-2020
Aysén,0.0,2.0,0 %,0.0,0.0,29-03-2020
Magallanes,13.0,39.0,2 %,0.0,0.0,29-03-2020
Total,230.0,2139.0,100%,7.0,75.0,29-03-2020
