Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,4.0,272.0,1.83%,4.0,0.0,2020-04-29
Tarapacá,14.0,183.0,1.23%,1.0,0.0,2020-04-29
Antofagasta,33.0,514.0,3.45%,4.0,0.0,2020-04-29
Atacama,7.0,42.0,"0,28%",0.0,0.0,2020-04-29
Coquimbo,2.0,76.0,"0,51%",0.0,0.0,2020-04-29
Valparaíso,33.0,526.0,3.53%,12.0,0.0,2020-04-29
Metropolitana,339.0,8639.0,"58,04%",104.0,0.0,2020-04-29
O’Higgins,7.0,104.0,"0,70%",1.0,0.0,2020-04-29
Maule,8.0,392.0,2.63%,13.0,0.0,2020-04-29
Ñuble,14.0,761.0,"5,11%",14.0,0.0,2020-04-29
Biobío,10.0,719.0,"4,83%",7.0,0.0,2020-04-29
Araucanía,22.0,1273.0,"8,55%",32.0,0.0,2020-04-29
Los Ríos,2.0,182.0,"1,22%",4.0,0.0,2020-04-29
Los Lagos,4.0,481.0,"3,23%",9.0,0.0,2020-04-29
Aysén,0.0,7.0,"0,05%",0.0,0.0,2020-04-29
Magallanes,21.0,714.0,"4,80%",11.0,0.0,2020-04-29
Total,520.0,14885.0,100%,216.0,8057.0,2020-04-29
