Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,16.0,28.0,1 %,0.0,0.0,2020-04-05
Tarapacá,3.0,20.0,0 %,0.0,0.0,2020-04-05
Antofagasta,5.0,60.0,1 %,0.0,0.0,2020-04-05
Atacama,0.0,5.0,0 %,0.0,0.0,2020-04-05
Coquimbo,6.0,50.0,1 %,0.0,0.0,2020-04-05
Valparaíso,6.0,191.0,4 %,1.0,0.0,2020-04-05
Metropolitana,145.0,2102.0,47 %,10.0,0.0,2020-04-05
O’Higgins,3.0,41.0,1 %,0.0,0.0,2020-04-05
Maule,6.0,103.0,2 %,1.0,0.0,2020-04-05
Ñuble,24.0,425.0,10 %,3.0,0.0,2020-04-05
Biobío,18.0,365.0,8 %,2.0,0.0,2020-04-05
Araucanía,32.0,509.0,11 %,13.0,0.0,2020-04-05
Los Ríos,10.0,99.0,2 %,1.0,0.0,2020-04-05
Los Lagos,17.0,276.0,6 %,1.0,0.0,2020-04-05
Aysén,1.0,7.0,0 %,0.0,0.0,2020-04-05
Magallanes,18.0,190.0,4 %,2.0,0.0,2020-04-05
Total,310.0,4471.0,100%,34.0,528.0,2020-04-05
