Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,6.0,245.0,"1,91 %",3.0,0.0,2020-04-25
Tarapacá,9.0,143.0,"1,11 %",1.0,0.0,2020-04-25
Antofagasta,25.0,391.0,"3,04 %",3.0,0.0,2020-04-25
Atacama,3.0,24.0,"0,19 %",0.0,0.0,2020-04-25
Coquimbo,1.0,73.0,"0,57 %",0.0,0.0,2020-04-25
Valparaíso,18.0,454.0,"3,53 %",9.0,0.0,2020-04-25
Metropolitana,404.0,7165.0,"55,72 %",89.0,0.0,2020-04-25
O’Higgins,4.0,85.0,"0,66 %",1.0,0.0,2020-04-25
Maule,1.0,350.0,"2,72 %",10.0,0.0,2020-04-25
Ñuble,10.0,725.0,"5,64 %",14.0,0.0,2020-04-25
Biobío,13.0,696.0,"5,41 %",5.0,0.0,2020-04-25
Araucanía,19.0,1203.0,"9,36 %",27.0,0.0,2020-04-25
Los Ríos,3.0,177.0,"1,38 %",3.0,0.0,2020-04-25
Los Lagos,5.0,465.0,"3,62 %",8.0,0.0,2020-04-25
Aysén,0.0,7.0,"0,05 %",0.0,0.0,2020-04-25
Magallanes,31.0,655.0,"5,09 %",8.0,0.0,2020-04-25
Total,552.0,12858.0,100%,181.0,6746.0,2020-04-25
