Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,5.0,12.0,0 %,0.0,0.0,2020-04-03
Tarapacá,1.0,13.0,0 %,0.0,0.0,2020-04-03
Antofagasta,7.0,54.0,1 %,0.0,0.0,2020-04-03
Atacama,2.0,5.0,0 %,0.0,0.0,2020-04-03
Coquimbo,1.0,35.0,1 %,0.0,0.0,2020-04-03
Valparaíso,20.0,176.0,5 %,1.0,0.0,2020-04-03
Metropolitana,106.0,1742.0,47 %,8.0,0.0,2020-04-03
O’Higgins,1.0,33.0,1 %,0.0,0.0,2020-04-03
Maule,7.0,89.0,2 %,1.0,0.0,2020-04-03
Ñuble,29.0,370.0,10 %,1.0,0.0,2020-04-03
Biobío,27.0,302.0,8 %,2.0,0.0,2020-04-03
Araucanía,43.0,432.0,12 %,7.0,0.0,2020-04-03
Los Ríos,10.0,78.0,2 %,1.0,0.0,2020-04-03
Los Lagos,31.0,234.0,6 %,0.0,0.0,2020-04-03
Aysén,1.0,6.0,0 %,0.0,0.0,2020-04-03
Magallanes,42.0,156.0,4 %,1.0,0.0,2020-04-03
Total,333.0,3737.0,100%,22.0,427.0,2020-04-03
