Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0,2,"0,18 %",0,0,25-03-2020
Tarapacá,0,4,"0,35 %",0,0,25-03-2020
Antofagasta,6,19,"1,66 %",0,0,25-03-2020
Atacama,0,1,"0,09 %",0,0,25-03-2020
Coquimbo,1,12,"1,05 %",0,0,25-03-2020
Valparaíso,7,32,"2,80 %",0,0,25-03-2020
Metropolitana,142,682,"59,72 %",2,0,25-03-2020
O’Higgins,2,11,"0,96 %",0,0,25-03-2020
Maule,1,30,"2,63 %",0,0,25-03-2020
Ñuble,6,111,"9,72 %",0,0,25-03-2020
Biobío,22,95,"8,32 %",1,0,25-03-2020
Araucanía,15,74,"6,48 %",0,0,25-03-2020
Los Ríos,5,11,"0,96 %",0,0,25-03-2020
Los Lagos,8,44,"3,85 %",0,0,25-03-2020
Aysén,0,1,"0,09 %",0,0,25-03-2020
Magallanes,5,13,"1,14 %",0,0,25-03-2020
Total,220,1142,100%,3,22,25-03-2020
