Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,8.0,115.0,"1,59 %",1.0,0.0,2020-04-12
Tarapacá,8.0,46.0,"0,64 %",0.0,0.0,2020-04-12
Antofagasta,21.0,138.0,"1,91 %",1.0,0.0,2020-04-12
Atacama,0.0,13.0,"0, 18 %",0.0,0.0,2020-04-12
Coquimbo,2.0,66.0,"0,92 %",0.0,0.0,2020-04-12
Valparaíso,6.0,254.0,"3,52 %",2.0,0.0,2020-04-12
Metropolitana,151.0,3599.0,"49,90 %",35.0,0.0,2020-04-12
O’Higgins,1.0,46.0,"0,64 %",0.0,0.0,2020-04-12
Maule,4.0,138.0,"1,91 %",3.0,0.0,2020-04-12
Ñuble,7.0,613.0,"8,50 %",7.0,0.0,2020-04-12
Biobío,10.0,500.0,"6,93 %",2.0,0.0,2020-04-12
Araucanía,36.0,775.0,"10,74 %",17.0,0.0,2020-04-12
Los Ríos,5.0,135.0,"1,87 %",3.0,0.0,2020-04-12
Los Lagos,8.0,372.0,"5,16 %",5.0,0.0,2020-04-12
Aysén,0.0,7.0,"0,10 %",0.0,0.0,2020-04-12
Magallanes,19.0,396.0,"5,49 %",4.0,0.0,2020-04-12
Total,286.0,7213.0,100%,80.0,2059.0,2020-04-12
