Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,16,161,"1,53 %",2,0,4/20/20
Tarapacá,3,93,"0,89 %",0,0,4/20/20
Antofagasta,14,263,"2,50 %",1,0,4/20/20
Atacama,0,13,"0,12 %",0,0,4/20/20
Coquimbo,1,69,"0,66 %",0,0,4/20/20
Valparaíso,7,388,"3,69 %",5,0,4/20/20
Metropolitana,262,5643,"53,71 %",67,0,4/20/20
O’Higgins,1,56,"0,53 %",0,0,4/20/20
Maule,2,304,"2,89 %",10,0,4/20/20
Ñuble,9,687,"6,54 %",13,0,4/20/20
Biobío,10,626,"5,96 %",3,0,4/20/20
Araucanía,73,1045,"9,95 %",23,0,4/20/20
Los Ríos,5,162,"1,54 %",3,0,4/20/20
Los Lagos,3,424,"4,04 %",6,0,4/20/20
Aysén,0,7,"0,07 %",0,0,4/20/20
Magallanes,13,566,"5,39 %",6,0,4/20/20
Total,419,10507,100%,139,4676,4/20/20
