Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,4.0,124.0,"1,50 %",1.0,0.0,2020-04-15
Tarapacá,0.0,62.0,"0,75 %",0.0,0.0,2020-04-15
Antofagasta,21.0,176.0,"2,13 %",1.0,0.0,2020-04-15
Atacama,0.0,13.0,"0,16 %",0.0,0.0,2020-04-15
Coquimbo,0.0,66.0,"0,80 %",0.0,0.0,2020-04-15
Valparaíso,14.0,299.0,"3,61 %",2.0,0.0,2020-04-15
Metropolitana,248.0,4334.0,"52,39 %",41.0,0.0,2020-04-15
O’Higgins,1.0,54.0,"0,65 %",0.0,0.0,2020-04-15
Maule,10.0,152.0,"1,84 %",4.0,0.0,2020-04-15
Ñuble,12.0,634.0,"7,66 %",8.0,0.0,2020-04-15
Biobío,14.0,542.0,"6,55 %",2.0,0.0,2020-04-15
Araucanía,10.0,826.0,"9,98 %",21.0,0.0,2020-04-15
Los Ríos,2.0,150.0,"1,81 %",3.0,0.0,2020-04-15
Los Lagos,5.0,390.0,"4,71 %",5.0,0.0,2020-04-15
Aysén,0.0,7.0,"0,08 %",0.0,0.0,2020-04-15
Magallanes,15.0,444.0,"5,37 %",6.0,0.0,2020-04-15
Total,356.0,8273.0,100%,94.0,2937.0,2020-04-15
