Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,9.0,170.0,"1,57 %",2.0,0.0,2020-04-21
Tarapacá,11.0,104.0,"0,96 %",0.0,0.0,2020-04-21
Antofagasta,28.0,291.0,"2,69 %",1.0,0.0,2020-04-21
Atacama,0.0,13.0,"0,12 %",0.0,0.0,2020-04-21
Coquimbo,0.0,69.0,"0,64 %",0.0,0.0,2020-04-21
Valparaíso,15.0,403.0,"3,72 %",6.0,0.0,2020-04-21
Metropolitana,145.0,5788.0,"53,43 %",69.0,0.0,2020-04-21
O’Higgins,1.0,57.0,"0,53 %",1.0,0.0,2020-04-21
Maule,12.0,316.0,"2,92 %",10.0,0.0,2020-04-21
Ñuble,7.0,694.0,"6,41 %",13.0,0.0,2020-04-21
Biobío,10.0,636.0,"5,87 %",4.0,0.0,2020-04-21
Araucanía,47.0,1092.0,"10,08 %",25.0,0.0,2020-04-21
Los Ríos,5.0,167.0,"1,54 %",3.0,0.0,2020-04-21
Los Lagos,8.0,432.0,"3,99 %",6.0,0.0,2020-04-21
Aysén,0.0,7.0,"0,06 %",0.0,0.0,2020-04-21
Magallanes,27.0,593.0,"5,47 %",7.0,0.0,2020-04-21
Total,325.0,10832.0,100%,147.0,4969.0,2020-04-21
