Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,5.0,134.0,"1,45 %",2.0,0.0,2020-04-17
Tarapacá,7.0,73.0,"0,79 %",0.0,0.0,2020-04-17
Antofagasta,19.0,211.0,"2,28 %",1.0,0.0,2020-04-17
Atacama,0.0,13.0,"0,14 %",0.0,0.0,2020-04-17
Coquimbo,0.0,68.0,"0,73 %",0.0,0.0,2020-04-17
Valparaíso,15.0,345.0,"3,73 %",4.0,0.0,2020-04-17
Metropolitana,233.0,4915.0,"53,12 %",51.0,0.0,2020-04-17
O’Higgins,1.0,55.0,"0,59 %",0.0,0.0,2020-04-17
Maule,56.0,223.0,"2,41 %",7.0,0.0,2020-04-17
Ñuble,17.0,656.0,"7,09 %",11.0,0.0,2020-04-17
Biobío,19.0,578.0,"6,25 %",3.0,0.0,2020-04-17
Araucanía,25.0,907.0,"9,80 %",22.0,0.0,2020-04-17
Los Ríos,1.0,154.0,"1,66 %",3.0,0.0,2020-04-17
Los Lagos,13.0,412.0,"4,45 %",6.0,0.0,2020-04-17
Aysén,0.0,7.0,"0,08 %",0.0,0.0,2020-04-17
Magallanes,34.0,501.0,"5,42 %",6.0,0.0,2020-04-17
Total,445.0,9252.0,100%,116.0,3621.0,2020-04-17
