Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,3.0,0 %,0.0,0.0,28-03-2020
Tarapacá,0.0,5.0,0 %,0.0,0.0,28-03-2020
Antofagasta,4.0,25.0,1 %,0.0,0.0,28-03-2020
Atacama,0.0,1.0,0 %,0.0,0.0,28-03-2020
Coquimbo,1.0,15.0,1 %,0.0,0.0,28-03-2020
Valparaíso,22.0,71.0,4 %,0.0,0.0,28-03-2020
Metropolitana,146.0,1084.0,57 %,3.0,0.0,28-03-2020
O’Higgins,4.0,20.0,1 %,0.0,0.0,28-03-2020
Maule,5.0,37.0,2 %,0.0,0.0,28-03-2020
Ñuble,28.0,172.0,9 %,0.0,0.0,28-03-2020
Biobío,16.0,151.0,8 %,2.0,0.0,28-03-2020
Araucanía,34.0,177.0,9 %,1.0,0.0,28-03-2020
Los Ríos,5.0,27.0,1 %,0.0,0.0,28-03-2020
Los Lagos,30.0,93.0,5 %,0.0,0.0,28-03-2020
Aysén,0.0,2.0,0 %,0.0,0.0,28-03-2020
Magallanes,4.0,26.0,1 %,0.0,0.0,28-03-2020
Total,299.0,1909.0,100%,6.0,61.0,28-03-2020
