Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,3.0,145.0,"1,44 %",2.0,0.0,2020-04-19
Tarapacá,9.0,90.0,"0,89 %",0.0,0.0,2020-04-19
Antofagasta,23.0,249.0,"2,47 %",1.0,0.0,2020-04-19
Atacama,0.0,13.0,"0,13 %",0.0,0.0,2020-04-19
Coquimbo,0.0,68.0,"0,67 %",0.0,0.0,2020-04-19
Valparaíso,22.0,381.0,"3,78%",5.0,0.0,2020-04-19
Metropolitana,189.0,5381.0,"53,34 %",63.0,0.0,2020-04-19
O’Higgins,0.0,55.0,"0,55 %",0.0,0.0,2020-04-19
Maule,26.0,302.0,"2,99 %",8.0,0.0,2020-04-19
Ñuble,11.0,678.0,"6,72 %",13.0,0.0,2020-04-19
Biobío,10.0,616.0,"6,11 %",3.0,0.0,2020-04-19
Araucanía,28.0,972.0,"9,64 %",23.0,0.0,2020-04-19
Los Ríos,1.0,157.0,"1,56 %",3.0,0.0,2020-04-19
Los Lagos,5.0,421.0,"4,17 %",6.0,0.0,2020-04-19
Aysén,0.0,7.0,"0,07 %",0.0,0.0,2020-04-19
Magallanes,31.0,553.0,"5,48 %",6.0,0.0,2020-04-19
Total,358.0,10088.0,100%,133.0,4338.0,2020-04-19
