Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,3,"0,2 %",0.0,0.0,27-03-2020
Tarapacá,0.0,5,"0,3 %",0.0,0.0,27-03-2020
Antofagasta,1.0,21,"1,3 %",0.0,0.0,27-03-2020
Atacama,0.0,1,"0,1 %",0.0,0.0,27-03-2020
Coquimbo,1.0,14,"0,9 %",0.0,0.0,27-03-2020
Valparaíso,5.0,49,"3,0 %",0.0,0.0,27-03-2020
Metropolitana,192.0,938,"58,3 %",3.0,0.0,27-03-2020
O’Higgins,2.0,16,"1,0 %",0.0,0.0,27-03-2020
Maule,1.0,32,"2,0 %",0.0,0.0,27-03-2020
Ñuble,30.0,144,"8,9 %",0.0,0.0,27-03-2020
Biobío,26.0,135,"8,4 %",2.0,0.0,27-03-2020
Araucanía,32.0,143,"8,9 %",0.0,0.0,27-03-2020
Los Ríos,8.0,22,"1,4 %",0.0,0.0,27-03-2020
Los Lagos,3.0,63,"3,9 %",0.0,0.0,27-03-2020
Aysén,0.0,2,"0,1 %",0.0,0.0,27-03-2020
Magallanes,3.0,22,"1,4 %",0.0,0.0,27-03-2020
Total,304.0,1610,100%,5.0,43.0,27-03-2020
