Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,1,7,0%,0,0,4/2/20
Tarapacá,2,12,0%,0,0,4/2/20
Antofagasta,8,47,1%,0,0,4/2/20
Atacama,0,3,0%,0,0,4/2/20
Coquimbo,4,34,1%,0,0,4/2/20
Valparaíso,20,156,5%,1,0,4/2/20
Metropolitana,115,1636,48%,6,0,4/2/20
O’Higgins,6,32,1%,0,0,4/2/20
Maule,11,82,2%,1,0,4/2/20
Ñuble,82,341,10%,0,0,4/2/20
Biobío,35,275,8%,2,0,4/2/20
Araucanía,46,389,11%,7,0,4/2/20
Los Ríos,4,68,2%,1,0,4/2/20
Los Lagos,22,203,6%,0,0,4/2/20
Aysén,2,5,0%,0,0,4/2/20
Magallanes,15,114,3%,0,0,4/2/20
Total,373,3404,100%,18,335,4/2/20
