Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,29.0,239.0,"1,94 %",3.0,0.0,2020-04-24
Tarapacá,6.0,134.0,"1,09 %",0.0,0.0,2020-04-24
Antofagasta,26.0,366.0,"2,97 %",2.0,0.0,2020-04-24
Atacama,3.0,21.0,"0,17 %",0.0,0.0,2020-04-24
Coquimbo,2.0,72.0,"0,59 %",0.0,0.0,2020-04-24
Valparaíso,7.0,436.0,"3,54 %",8.0,0.0,2020-04-24
Metropolitana,327.0,6761.0,"54,94 %",86.0,0.0,2020-04-24
O’Higgins,5.0,81.0,"0,66 %",1.0,0.0,2020-04-24
Maule,16.0,349.0,"2,84 %",10.0,0.0,2020-04-24
Ñuble,7.0,715.0,"5,81 %",14.0,0.0,2020-04-24
Biobío,8.0,683.0,"5,55 %",5.0,0.0,2020-04-24
Araucanía,42.0,1184.0,"9,62 %",26.0,0.0,2020-04-24
Los Ríos,1.0,174.0,"1,41 %",3.0,0.0,2020-04-24
Los Lagos,6.0,460.0,"3,74 %",8.0,0.0,2020-04-24
Aysén,0.0,7.0,"0,06 %",0.0,0.0,2020-04-24
Magallanes,9.0,624.0,"5,07 %",8.0,0.0,2020-04-24
Total,494.0,12306.0,100%,174.0,6327.0,2020-04-24
