Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,10.0,63.0,1 %,0.0,0.0,2020-04-08
Tarapacá,3.0,26.0,0 %,0.0,0.0,2020-04-08
Antofagasta,8.0,77.0,1 %,1.0,0.0,2020-04-08
Atacama,2.0,8.0,0 %,0.0,0.0,2020-04-08
Coquimbo,4.0,56.0,1 %,0.0,0.0,2020-04-08
Valparaíso,11.0,225.0,4 %,2.0,0.0,2020-04-08
Metropolitana,198.0,2548.0,46 %,14.0,0.0,2020-04-08
O’Higgins,1.0,43.0,1 %,0.0,0.0,2020-04-08
Maule,11.0,119.0,2 %,2.0,0.0,2020-04-08
Ñuble,39.0,561.0,10 %,5.0,0.0,2020-04-08
Biobío,29.0,439.0,8 %,2.0,0.0,2020-04-08
Araucanía,57.0,669.0,12 %,15.0,0.0,2020-04-08
Los Ríos,5.0,114.0,2 %,2.0,0.0,2020-04-08
Los Lagos,26.0,325.0,6 %,2.0,0.0,2020-04-08
Aysén,0.0,7.0,0 %,0.0,0.0,2020-04-08
Magallanes,26.0,266.0,5 %,3.0,0.0,2020-04-08
Total,430.0,5546.0,100%,48.0,1.115,2020-04-08
